 Maintaining 16 concurrent writes of 4194304 bytes for up to 1000 seconds or 0 objects
 Object prefix: benchmark_data_hjem_1853476
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    53      16      1092      1076    81.201       140  0.458525  0.785466
    54      16      1112      1096   81.1786        80  0.320556  0.779166
    55      16      1123      1107   80.5026        44   1.74622   0.78131
    56      16      1149      1133   80.9221       104  0.504767    0.7876
    57      16      1178      1162   81.5373       116    0.6786  0.780181
    58      16      1209      1193   82.2692       124  0.547542  0.773701
    59      16      1235      1219   82.6374       104  0.435958  0.768998
2016-04-11 21:44:51.825506min lat: 0.116456 max lat: 4.13746 avg lat: 0.765948
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16      1260      1244   82.9266       100  0.674827  0.765948
    61      16      1278      1262   82.7474        72   1.17519  0.765982
    62      16      1292      1276   82.3159        56   1.00072  0.770701
    63      16      1312      1296    82.279        80  0.618098  0.768949
    64      16      1338      1322   82.6183       104  0.220933  0.770898
    65      16      1347      1331   81.9011        36   0.11034  0.768227
    66      16      1371      1355   82.1146        96  0.433333  0.772509
    67      16      1395      1379   82.3217        96  0.870385  0.772671
    68      16      1417      1401   82.4051        88  0.212938  0.773595
    69      16      1438      1422   82.4281        84  0.325277  0.771228
    70      16      1444      1428   81.5934        24  0.965861  0.771143
    71      16      1459      1443   81.2892        60  0.118045  0.775692
    72      16      1463      1447   80.3824        16   1.04006  0.778604
    73      16      1463      1447   79.2813         0         -  0.778604
    74      16      1473      1457   78.7505        20  0.181899  0.792167
    75      16      1504      1488   79.3537       124  0.210972  0.803365
    76      16      1534      1518   79.8884       120  0.248703  0.794611
    77      16      1551      1535   79.7339        68  0.723757  0.792828
    78      16      1575      1559   79.9423        96  0.501306  0.792248
    79      16      1596      1580   79.9936        84   4.77295  0.793188
2016-04-11 21:45:11.827024min lat: 0.0976373 max lat: 4.77295 avg lat: 0.795694
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16      1617      1601   80.0436        84  0.947662  0.795694
    81      16      1645      1629    80.438       112  0.427714  0.791754
    82      16      1661      1645   80.2375        64   0.30499  0.791414
    83      16      1681      1665   80.2346        80  0.257637  0.792961
    84      16      1697      1681   80.0413        64   1.07527  0.795969
    85      16      1715      1699   79.9466        72  0.660797  0.796116
    86      16      1742      1726   80.2727       108  0.639026  0.793081
    87      16      1765      1749   80.4075        92  0.960047  0.792972
    88      16      1784      1768   80.3573        76  0.523463  0.792385
    89      16      1790      1774   79.7241        24   1.32839  0.792505
    90      16      1803      1787    79.416        52   0.74292  0.798668
    91      16      1809      1793    78.807        24  0.748249  0.798834
    92      16      1829      1813   78.8199        80  0.606335  0.807567
    93      16      1851      1835   78.9185        88  0.544329  0.806872
    94      16      1864      1848   78.6321        52   1.42794  0.808253
    95      16      1892      1876   78.9831       112   0.54885  0.808612
    96      16      1920      1904   79.3269       112  0.464303  0.803575
    97      16      1938      1922   79.2513        72   1.51982  0.804042
    98      16      1954      1938   79.0956        64    1.1218  0.805935
    99      16      1990      1974   79.7511       144  0.383702  0.801491
2016-04-11 21:45:31.828798min lat: 0.0976373 max lat: 4.77295 avg lat: 0.79737
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   100      16      2016      2000   79.9935       104  0.604081   0.79737
   101      16      2039      2023   80.1123        92   0.22023  0.796075
   102      16      2046      2030   79.6014        28  0.638224  0.794462
   103      16      2065      2049   79.5664        76  0.197586  0.796253
   104      16      2074      2058   79.1474        36  0.214802   0.79368
   105      16      2090      2074   79.0031        64  0.231322   0.79926
   106      16      2104      2088   78.7861        56   0.33376  0.796197
   107      16      2134      2118   79.1712       120  0.593214  0.801609
   108      16      2162      2146    79.475       112  0.446606  0.803178
   109      16      2188      2172      79.7       104  0.276167  0.799655
   110      16      2194      2178   79.1936        24  0.186627  0.799772
   111      16      2207      2191   78.9486        52   0.26271  0.803629
   112      16      2210      2194   78.3508        12  0.819923  0.803616
   113      16      2224      2208    78.153        56  0.596677  0.812119
   114      16      2235      2219   77.8534        44   1.01483  0.816189
   115      16      2266      2250   78.2546       124  0.255918  0.816632
   116      16      2292      2276   78.4764       104  0.576121  0.813728
   117      16      2322      2306   78.8313       120  0.625991  0.808936
   118      16      2340      2324   78.7733        72  0.240036    0.8074
   119      16      2355      2339   78.6155        60   1.70075  0.808753
2016-04-11 21:45:51.830317min lat: 0.0976373 max lat: 6.06883 avg lat: 0.808718
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   120      16      2385      2369   78.9603       120  0.447558  0.808718
   121      16      2406      2390   79.0019        84  0.358684  0.806915
   122      16      2433      2417   79.2395       108  0.320868  0.805101
   123      16      2464      2448   79.6034       124  0.647442  0.801595
   124      16      2479      2463   79.4452        60  0.206986  0.801924
   125      16      2506      2490   79.6736       108  0.980899  0.801332
   126      16      2534      2518   79.9301       112  0.541687   0.79912
   127      16      2557      2541   80.0251        92  0.540749  0.796176
   128      16      2558      2542   79.4311         4  0.371239  0.796009
   129      16      2558      2542   78.8154         0         -  0.796009
   130      16      2566      2550   78.4552        16   3.77514  0.803579
   131      16      2578      2562   78.2227        48  0.508296  0.809101
   132      16      2603      2587   78.3876       100  0.454505  0.813475
   133      16      2626      2610   78.4899        92  0.577691  0.812044
   134      16      2655      2639   78.7698       116  0.256533  0.810176
   135      16      2691      2675   79.2529       144  0.473174  0.805951
   136      16      2714      2698   79.3465        92  0.288791  0.802745
   137      16      2735      2719   79.3805        84  0.255561  0.801982
   138      16      2764      2748   79.6458       116  0.512707  0.799332
   139      16      2785      2769    79.677        84  0.967193  0.800767
2016-04-11 21:46:11.831955min lat: 0.0976373 max lat: 6.06883 avg lat: 0.800394
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   140      16      2801      2785    79.565        64  0.171977  0.800394
   141      16      2824      2808   79.6532        92  0.387115  0.801387
   142      16      2854      2838   79.9372       120  0.299762  0.797857
   143      16      2870      2854   79.8258        64   1.24323  0.798454
   144      16      2892      2876   79.8825        88  0.246569   0.79746
   145      16      2912      2896   79.8832        80  0.338004  0.798691
   146      16      2916      2900   79.4457        16   1.03947  0.799062
   147      16      2931      2915   79.3134        60   1.21759   0.80232
   148      16      2932      2916   78.8045         4  0.901115  0.802354
   149      16      2936      2920    78.383        16   1.84187  0.804314
   150      16      2942      2926   78.0204        24   3.21344   0.80905
   151      16      2968      2952   78.1924       104  0.174623  0.816581
   152      16      2995      2979   78.3885       108  0.180109  0.814383
   153      16      3029      3013   78.7649       136  0.366332  0.810844
   154      16      3063      3047   79.1365       136  0.338091  0.807671
   155      16      3081      3065   79.0905        72  0.888822  0.806836
   156      16      3104      3088   79.1732        92  0.479559  0.805739
   157      16      3139      3123   79.5605       140   0.42964  0.803232
   158      16      3162      3146   79.6392        92  0.264247  0.801057
   159      16      3191      3175   79.8678       116  0.321044  0.799582
2016-04-11 21:46:31.833442min lat: 0.0976373 max lat: 6.06883 avg lat: 0.800015
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   160      16      3204      3188   79.6936        52  0.986547  0.800015
   161      16      3228      3212   79.7949        96  0.553148  0.799703
   162      16      3244      3228   79.6973        64    1.1698  0.799648
   163      16      3253      3237   79.4292        36   1.00735  0.801435
   164      16      3260      3244   79.1156        28   3.19846  0.803874
   165      16      3262      3246   78.6846         8  0.877645  0.803877
   166      16      3262      3246   78.2106         0         -  0.803877
   167      16      3275      3259   78.0537        26  0.314105  0.812477
   168      16      3295      3279   78.0652        80   0.56345  0.817384
   169      16      3327      3311   78.3606       128  0.249936  0.814109
   170      16      3355      3339   78.5585       112   1.32396  0.813097
   171      16      3391      3375   78.9411       144  0.330479   0.80952
   172      16      3418      3402     79.11       108  0.282372  0.807161
   173      16      3460      3444   79.6237       168  0.264799  0.803095
   174      16      3478      3462   79.5799        72  0.295785  0.801565
   175      16      3502      3486   79.6737        96  0.759985  0.801485
   176      16      3523      3507   79.6982        84   1.16652  0.800712
   177      16      3538      3522   79.5869        60  0.280235   0.79978
   178      16      3552      3536   79.4544        56   1.62409  0.802847
   179      16      3567      3551   79.3457        60  0.374235  0.802646
2016-04-11 21:46:51.834943min lat: 0.0976373 max lat: 6.06883 avg lat: 0.803873
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   180      16      3582      3566   79.2382        60   1.60529  0.803873
   181      16      3593      3577   79.0434        44   1.87563  0.806639
   182      16      3604      3588   78.8509        44  0.800665  0.807658
   183      16      3607      3591   78.4856        12  0.890591  0.807681
   184      16      3627      3611   78.4938        80  0.508427  0.813012
   185      16      3670      3654   78.9991       172  0.402665  0.809794
   186      16      3703      3687    79.284       132  0.353136  0.806271
   187      16      3727      3711   79.3734        96  0.760333  0.804925
   188      16      3763      3747   79.7171       144   0.25275  0.802322
   189      16      3787      3771   79.8032        96  0.677843  0.800094
   190      16      3802      3786   79.6989        60  0.121378  0.799852
   191      16      3831      3815   79.8889       116  0.401711   0.80039
   192      16      3847      3831   79.8062        64   1.03852  0.799691
   193      16      3856      3840   79.5792        36  0.821905  0.799633
   194      16      3890      3874     79.87       136  0.326655  0.800338
   195      16      3898      3882   79.6245        32   1.07845  0.799786
   196      16      3914      3898   79.5447        64  0.620718  0.800988
   197      16      3915      3899   79.1612         4   2.02881  0.801303
   198      16      3915      3899   78.7614         0         -  0.801303
   199      16      3918      3902    78.426         6   4.61108  0.804052
2016-04-11 21:47:11.836484min lat: 0.0976373 max lat: 6.06883 avg lat: 0.81269
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   200      16      3951      3935   78.6938       132  0.206308   0.81269
   201      16      3988      3972   79.0385       148  0.468223  0.808955
   202      16      4027      4011   79.4195       156   0.39426  0.804617
   203      16      4070      4054   79.8755       172  0.474527  0.800375
   204      16      4097      4081   80.0133       108  0.748306   0.79864
   205      16      4124      4108   80.1498       108  0.579869  0.797251
   206      16      4161      4145   80.4791       148   0.34079  0.794278
   207      16      4170      4154   80.2642        36  0.507096  0.793515
   208      16      4196      4180   80.3783       104  0.592731  0.795335
   209      16      4209      4193   80.2425        52  0.186673  0.794064
   210      16      4218      4202   80.0318        36  0.277208  0.794613
   211      16      4235      4219   79.9747        68  0.269355  0.797234
   212      16      4252      4236   79.9182        68 0.0974118  0.798793
   213      16      4266      4250   79.8059        56  0.909096  0.799339
   214      16      4274      4258   79.5825        32  0.790703  0.799557
   215      16      4277      4261   79.2682        12  0.665379  0.799976
   216      16      4298      4282   79.2901        84  0.590817   0.80341
   217      16      4334      4318   79.5882       144  0.269244    0.8031
   218      16      4373      4357   79.9387       156  0.487171  0.799438
   219      16      4394      4378   79.9572        84  0.708007  0.798772
2016-04-11 21:47:31.837989min lat: 0.0974118 max lat: 6.06883 avg lat: 0.798092
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   220      16      4418      4402   80.0301        96  0.373803  0.798092
   221      16      4446      4430   80.1747       112  0.538332  0.797384
   222      16      4466      4450   80.1739        80  0.252258  0.795724
   223      16      4471      4455    79.904        20   1.09764  0.796344
   224      16      4500      4484   80.0651       116  0.215698  0.797738
   225      16      4515      4499   79.9759        60  0.456764  0.797936
   226      16      4528      4512   79.8521        52  0.171118  0.797647
   227      16      4544      4528   79.7823        64   1.13201  0.800554
   228      16      4548      4532   79.5025        16   1.17126  0.800798
   229      16      4578      4562   79.6793       120  0.478734  0.802543
   230      16      4591      4575    79.559        52  0.945377  0.801954
   231      16      4595      4579   79.2838        16  0.166211  0.801994
   232      16      4609      4593   79.1834        56   2.14085  0.806689
   233      16      4633      4617   79.2556        96   1.20105  0.806055
   234      16      4671      4655   79.5664       152  0.272793  0.803539
   235      16      4693      4677   79.6023        88   1.02802  0.801988
   236      16      4719      4703   79.7056       104   0.19358  0.801116
   237      16      4757      4741   80.0106       152  0.329709  0.799113
   238      16      4792      4776   80.2626       140  0.354648  0.796121
   239      16      4813      4797   80.2782        84  0.248337  0.794995
2016-04-11 21:47:51.839438min lat: 0.0974118 max lat: 6.06883 avg lat: 0.796123
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   240      16      4836      4820    80.327        92  0.211045  0.796123
   241      16      4853      4837   80.2759        68   1.10445  0.795241
   242      16      4871      4855   80.2417        72  0.962206  0.795789
   243      16      4904      4888   80.4546       132  0.554768  0.794597
   244      16      4924      4908   80.4527        80  0.633036  0.794221
   245      16      4932      4916   80.2549        32  0.922555  0.794204
   246      16      4950      4934   80.2214        72  0.888098  0.795156
   247      16      4974      4958   80.2852        96  0.923289  0.795744
   248      16      4987      4971   80.1711        52  0.194393  0.795205
   249      16      4987      4971   79.8492         0         -  0.795205
   250      16      5004      4988   79.8018        34   2.69147  0.799838
   251      16      5033      5017   79.9459       116  0.442059  0.799747
   252      16      5050      5034   79.8985        68  0.215241   0.79808
   253      16      5067      5051   79.8515        68  0.348284  0.798313
   254      16      5098      5082   80.0252       124  0.347771  0.798948
   255      16      5127      5111   80.1663       116  0.509402  0.797216
   256      16      5149      5133   80.1969        88   0.26372  0.795978
   257      16      5160      5144    80.056        44  0.314812  0.796199
   258      16      5184      5168   80.1178        96   1.00355  0.797546
   259      16      5209      5193   80.1945       100   1.06992  0.796509
2016-04-11 21:48:11.840977min lat: 0.0974118 max lat: 6.06883 avg lat: 0.796789
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   260      16      5215      5199   79.9784        24  0.257914  0.796789
   261      16      5240      5224    80.055       100  0.868465  0.798078
   262      16      5257      5241    80.009        68   1.05439  0.799279
   263      16      5264      5248   79.8113        28  0.863257   0.79908
   264      16      5279      5263   79.7362        60   1.81782  0.800482
   265      16      5311      5295   79.9183       128  0.253262  0.800284
   266      16      5330      5314   79.9035        76  0.353665  0.799955
   267      16      5346      5330   79.8439        64  0.239136  0.799536
   268      16      5377      5361   80.0087       124  0.232023  0.798817
   269      16      5410      5394   80.2019       132  0.401105  0.797021
   270      16      5441      5425   80.3641       124  0.392675  0.795236
   271      16      5465      5449   80.4217        96  0.193363  0.794415
   272      16      5480      5464   80.3466        60  0.111214  0.794054
   273      16      5512      5496   80.5212       128  0.603305  0.793982
   274      16      5541      5525   80.6506       116  0.577394  0.792912
   275      16      5552      5536   80.5173        44  0.772275   0.79279
   276      16      5567      5551    80.443        60   1.08601  0.793896
   277      16      5585      5569   80.4121        72  0.923454  0.794187
   278      16      5601      5585   80.3531        64    1.6405  0.794812
   279      16      5614      5598   80.2514        52  0.278523   0.79566
2016-04-11 21:48:31.843833min lat: 0.0974118 max lat: 6.06883 avg lat: 0.79552
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   280      16      5623      5607   80.0934        36  0.471312   0.79552
   281      16      5623      5607   79.8083         0         -   0.79552
   282      16      5629      5613   79.6104        12   3.48593  0.798903
   283      16      5660      5644   79.7673       124  0.518245  0.801851
   284      16      5684      5668   79.8244        96  0.937503  0.800796
   285      16      5703      5687   79.8109        76   1.00976  0.799867
   286      16      5731      5715   79.9235       112  0.270237  0.799863
   287      16      5760      5744   80.0491       116   0.59859  0.798655
   288      16      5784      5768   80.1045        96  0.577797  0.798182
   289      16      5798      5782   80.0211        56   1.12678  0.797916
   290      16      5815      5799   79.9796        68    1.3234  0.798484
   291      16      5837      5821   80.0071        88  0.955634  0.798702
   292      16      5851      5835   79.9249        56   1.19237   0.79881
   293      16      5876      5860   79.9934       100  0.276037  0.799198
   294      16      5903      5887   80.0886       108  0.581364   0.79825
   295      16      5926      5910    80.129        92  0.597033  0.797393
   296      16      5947      5931   80.1421        84  0.678002  0.797813
   297      16      5953      5937    79.953        24  0.853923  0.797703
   298      16      5956      5940    79.725        12   0.60588  0.797667
   299      16      5973      5957   79.6858        68   2.88364  0.800937
2016-04-11 21:48:51.845307min lat: 0.0974118 max lat: 6.06883 avg lat: 0.802088
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   300      16      5990      5974   79.6468        68  0.208424  0.802088
   301      16      6004      5988   79.5682        56  0.228371  0.802035
   302      16      6026      6010   79.5961        88  0.335867   0.80276
   303      16      6055      6039   79.7162       116  0.317779  0.802565
   304      16      6078      6062   79.7566        92  0.272897  0.801112
   305      16      6099      6083   79.7705        84  0.961962   0.80128
   306      16      6119      6103   79.7712        80  0.362079  0.800945
   307      16      6133      6117   79.6929        56  0.276089  0.801014
   308      16      6167      6151   79.8757       136    0.7151  0.800619
   309      16      6184      6168   79.8372        68  0.221725  0.800033
   310      16      6218      6202   80.0184       136  0.279228  0.799297
   311      16      6231      6215   79.9283        52   1.04206  0.799076
   312      16      6241      6225   79.8003        40   2.06452  0.799282
   313      16      6245      6229   79.5965        16   0.23745   0.79914
   314      16      6246      6230   79.3557         4   2.72351  0.799449
   315      16      6254      6238   79.2054        32    4.7824  0.800769
   316      16      6276      6260   79.2332        88   1.36573  0.806906
   317      16      6295      6279    79.223        76  0.652514  0.806636
   318      16      6320      6304   79.2883       100   0.50944  0.805498
   319      16      6344      6328   79.3406        96  0.604307  0.804174
2016-04-11 21:49:11.850165min lat: 0.0923315 max lat: 6.06883 avg lat: 0.804581
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   320      16      6358      6342   79.2677        56   1.11936  0.804581
   321      16      6373      6357   79.2077        60  0.279945  0.805657
   322      16      6408      6392   79.3964       140  0.495572  0.805454
   323      16      6429      6413   79.4106        84  0.597608  0.804777
   324      16      6443      6427   79.3384        56  0.270871  0.805046
   325      16      6478      6462    79.525       140  0.495891  0.804218
   326      16      6501      6485   79.5632        92   0.26016  0.803902
   327      16      6529      6513   79.6624       112  0.738808  0.802743
   328      16      6546      6530   79.6268        68  0.372033   0.80252
   329      16      6571      6555   79.6887       100  0.361983   0.80211
   330      16      6599      6583   79.7866       112  0.245813  0.801264
   331      16      6608      6592   79.6543        36  0.125404  0.800587
   332      16      6609      6593   79.4264         4   2.51257  0.800846
   333      16      6609      6593   79.1879         0         -  0.800846
   334      16      6609      6593   78.9508         0         -  0.800846
   335      16      6637      6621   79.0495   37.3333  0.608912   0.80901
   336      16      6655      6639   79.0285        72  0.306476  0.808614
   337      16      6694      6678   79.2568       156   0.24821  0.807136
   338      16      6721      6705   79.3419       108  0.553237  0.805532
   339      16      6754      6738   79.4972       132  0.285508  0.804579
2016-04-11 21:49:31.851726min lat: 0.0923315 max lat: 6.06883 avg lat: 0.803147
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   340      16      6784      6768   79.6163       120  0.266031  0.803147
   341      16      6808      6792   79.6643        96  0.374353  0.802186
   342      16      6824      6808   79.6185        64  0.390346  0.801608
   343      16      6830      6814   79.4563        24   1.13665  0.802061
   344      16      6841      6825   79.3532        44   2.02834  0.803116
   345      16      6849      6833    79.216        32   1.65084  0.804706
   346      16      6873      6857   79.2645        96  0.514764  0.806849
   347      16      6894      6878   79.2781        84  0.616865  0.806595
   348      16      6906      6890   79.1882        48  0.939862  0.806706
   349      16      6922      6906   79.1443        64   1.67645  0.807892
   350      16      6936      6920   79.0782        56  0.899628  0.808175
   351      16      6958      6942   79.1036        88  0.101119   0.80768
   352      16      6975      6959    79.072        68  0.201878  0.808241
   353      16      6993      6977    79.052        72   1.00975  0.808694
   354      16      7006      6990   78.9756        52  0.427645    0.8083
   355      16      7034      7018   79.0686       112   1.44641  0.808988
   356      16      7063      7047   79.1723       116  0.420274   0.80765
   357      16      7094      7078   79.2978       124  0.345958  0.806477
   358      16      7121      7105    79.378       108  0.245857  0.805641
   359      16      7141      7125   79.3797        80  0.631921  0.804811
2016-04-11 21:49:51.854676min lat: 0.0923315 max lat: 6.06883 avg lat: 0.805121
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   360      16      7163      7147   79.4036        88  0.726378  0.805121
   361      16      7193      7177    79.516       120  0.723627   0.80413
   362      16      7227      7211    79.672       136  0.464735  0.802723
   363      16      7250      7234    79.706        92  0.548646  0.801812
   364      16      7255      7239   79.5419        20   1.01635  0.802003
   365      16      7266      7250   79.4446        44  0.436245  0.803215
   366      16      7267      7251   79.2384         4   1.09241  0.803255
   367      16      7273      7257   79.0879        24   1.63515  0.805104
   368      16      7290      7274   79.0578        68   1.05944   0.80894
   369      16      7313      7297   79.0928        92  0.182451  0.808602
   370      16      7328      7312   79.0412        60  0.220083  0.808292
   371      16      7352      7336   79.0869        96  0.849108  0.808109
   372      16      7375      7359   79.1216        92  0.657893  0.808149
   373      16      7397      7381   79.1454        88  0.238351  0.807085
   374      16      7410      7394   79.0728        52  0.259282  0.807053
   375      16      7444      7428   79.2246       136  0.400005  0.807369
   376      16      7471      7455   79.3011       108  0.431647  0.806664
   377      16      7495      7479   79.3453        96  0.280904   0.80535
   378      16      7495      7479   79.1354         0         -   0.80535
   379      16      7511      7495   79.0955        32   2.22544  0.808457
2016-04-11 21:50:11.856257min lat: 0.0923315 max lat: 6.06883 avg lat: 0.807853
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   380      16      7537      7521    79.161       104  0.571763  0.807853
   381      16      7563      7547   79.2262       104  0.536208  0.807003
   382      16      7582      7566   79.2177        76  0.797717  0.806742
   383      16      7595      7579   79.1466        52  0.169817  0.807241
   384      16      7621      7605   79.2113       104  0.428506  0.807117
   385      16      7631      7615   79.1095        40   1.45472  0.807505
   386      16      7631      7615   78.9045         0         -  0.807505
   387      16      7640      7624   78.7937        18    2.5754  0.809755
   388      16      7674      7658   78.9411       136   0.26502  0.810346
   389      16      7693      7677   78.9335        76  0.803986  0.809532
   390      16      7724      7708    79.049       124  0.490467  0.809038
   391      16      7752      7736   79.1333       112  0.467988  0.808139
   392      16      7781      7765   79.2273       116  0.533135  0.807213
   393      16      7807      7791   79.2903       104  0.555412  0.806433
   394      16      7832      7816   79.3429       100  0.473119  0.806234
   395      16      7851      7835   79.3344        76  0.820786  0.806025
   396      16      7873      7857   79.3562        88  0.961379  0.805499
   397      16      7888      7872   79.3075        60   1.28265  0.805667
   398      16      7901      7885   79.2388        52   1.34666  0.806251
   399      16      7919      7903   79.2207        72  0.986874  0.806698
2016-04-11 21:50:31.857890min lat: 0.080691 max lat: 6.06883 avg lat: 0.806902
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   400      16      7942      7926   79.2526        92  0.260904  0.806902
   401      16      7969      7953   79.3243       108  0.470736  0.805738
   402      16      7981      7965   79.2464        48   1.41008  0.805761
   403      16      7997      7981   79.2085        64  0.609265  0.806623
   404      16      8001      7985   79.0521        16  0.208879  0.806369
   405      16      8001      7985   78.8569         0         -  0.806369
   406      16      8009      7993   78.7415        16  0.568825   0.80765
   407      16      8022      8006   78.6757        52   6.08836  0.811687
   408      16      8061      8045   78.8652       156  0.343091  0.811337
   409      16      8090      8074    78.956       116  0.314901  0.809566
   410      16      8116      8100   79.0171       104  0.246997  0.808146
   411      16      8137      8121   79.0292        84   0.31041  0.808255
   412      16      8175      8159   79.2063       152   0.31204  0.807339
   413      16      8197      8181   79.2275        88  0.962829  0.806661
   414      16      8220      8204   79.2584        92  0.683243  0.806644
   415      16      8247      8231   79.3276       108  0.605475  0.805924
   416      16      8268      8252   79.3388        84  0.759654  0.805833
   417      16      8290      8274   79.3596        88  0.986895  0.805256
   418      16      8315      8299   79.4089       100  0.671458   0.80554
   419      16      8330      8314   79.3626        60   1.07099  0.805542
2016-04-11 21:50:51.859397min lat: 0.080691 max lat: 6.08836 avg lat: 0.805545
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   420      16      8340      8324   79.2689        40  0.411524  0.805545
   421      16      8340      8324   79.0806         0         -  0.805545
   422      16      8342      8326   78.9122         4   3.92353   0.80624
   423      16      8356      8340    78.858        56   3.50958  0.810035
   424      16      8372      8356   78.8229        64  0.337146   0.81062
   425      16      8393      8377   78.8351        84  0.151033  0.810804
   426      16      8413      8397   78.8378        80  0.146155  0.810656
   427      16      8453      8437   79.0279       160  0.363867  0.809322
   428      16      8478      8462   79.0768       100  0.694307  0.808593
   429      16      8510      8494   79.1909       128  0.253639  0.807865
   430      16      8537      8521   79.2578       108  0.612341  0.806825
   431      16      8569      8553   79.3709       128  0.261051  0.805844
   432      16      8578      8562   79.2705        36  0.709553  0.805519
   433      16      8582      8566   79.1244        16    2.3259  0.805839
   434      16      8594      8578   79.0527        48   2.63308  0.807747
   435      16      8626      8610   79.1652       128  0.422482  0.807801
